no,app,ulasan,label_bintang,bintang_rata,n_ulasan_sama,svm,logreg,nb,indobert
214,JMO,"Makin kesini makin gk jelas nih aplikasi, login aja susah bgt.. alamat email salah terus padah sudah jelas2 tersimpan email dan sandinya..",negative,1.0,1,negative,negative,negative,negative
215,pertamina,"Apkilasi rusak! Bikin ribet aja! Gmna coba kalau pas bensin habis, kuota habis, batrai habis, Bilang saja kalau mau naikin harga BBM dengan cara ngilangin pertalit dan beralih semua ke pertamax tanpa di demo masyarakat.",negative,1.0,1,negative,negative,negative,negative
216,JMO,Setelah di update loading aplikasi terasa sangat berat. Mohon diperbaiki ga bisa ngebuka apa2. Perbaikan tapi malah bikin susah.,negative,1.0,1,negative,negative,negative,negative
217,satusehat,"Saya sudah vaksin tadi pagi kenapa di akun saya,, saya belum terdaftar vaksin mohon bantuannya",neutral,3.0,1,neutral,positive,neutral,neutral
218,satusehat,masuk berkali kali data KTP Sam nik sudah tp ga masuk masuk aruuuuuuhhhh,negative,1.0,1,negative,negative,negative,negative
219,mobileJKN,Mohon developernya di ganti aplikasinya error terus dari Habib di mekkah sampai pulang kembali ke Indonesia. Ahlan wa sahlan ya habibana...,negative,1.0,1,negative,negative,negative,negative
220,mobileJKN,Setiap buka aplikasinya di suruh updet terus. Padahal udah di updet.,neutral,3.0,1,negative,negative,negative,negative
221,mobileJKN,Udah beberapa kali minta di update terus,neutral,3.0,1,negative,negative,negative,negative
222,satusehat,Kenapa setelah close aplikasi selalu ada notifikasi aktifkan lokasi anda.,neutral,3.0,1,negative,negative,negative,neutral
223,satusehat,"Bagus dan membantu. Tapi waktu daftar awal.. masukin tgl lahir terlalu ribet, harus ngetik manual.... klo bisa dibuat lbh simple",positive,4.0,1,neutral,neutral,neutral,neutral
224,JMO,"𝐊𝐞𝐧𝐚𝐩𝐚 𝐤𝐨 𝐬𝐮𝐬𝐚 𝐛𝐞𝐭𝐮𝐥.𝐤𝐢𝐭𝐚 𝐬𝐮𝐝𝐚 𝐢𝐤𝐮𝐭 𝐜𝐚𝐫𝐚𝐧𝐭𝐚 𝐝𝐚𝐫𝐢 𝐚𝐰𝐚𝐥 𝐤𝐨,𝐭𝐞𝐭𝐚𝐩 𝐧𝐠𝐠𝐚 𝐛𝐢𝐬𝐚.𝐫𝐮𝐛𝐚 𝐢𝐭𝐮𝐥𝐚𝐡.𝐫𝐮𝐛𝐚 𝐢𝐧𝐢𝐥𝐚𝐡𝐡𝐡 𝐓𝐞𝐭𝐚𝐩 𝐧𝐠𝐠𝐚 𝐛𝐢𝐬𝐚",negative,1.0,1,negative,negative,negative,negative
225,mobileJKN,kenapa ga bisa dibuka aplikasi ini harus update ke versi terbaru tapi diupdate ga bisa2 gmn ini,positive,5.0,1,negative,negative,negative,negative
226,KAI,sering error pas mau mlih tmpt duduk..mhon di tindak lanjuti,neutral,3.0,1,neutral,neutral,neutral,neutral
227,pertamina,Apaan sih stumbul gai udah game kaku disconek mulu mana komunitasnya suka nyindir game lain hadehh game burik gak usah ngatain game orang burik😐😏,negative,1.0,1,negative,negative,negative,negative
228,KAI,Kok tiket saya ga bisa di bayar ya. Terus pas mau di bayar kok kode booking ga ada. Gara2 itu saya jd susah cari tiket lagi karna udh pada habis tiket nya.,negative,1.0,1,negative,neutral,neutral,negative
229,pertamina,"Lelet banget ya udah 1bln ini malah gak bs bayar pakai non tunai di pertamina. Pelayan SPBU jg banyak yg gak mau terima pembayaran non tunai krn lemot transaksi lama, bilangnya error gk bs di pakai.",negative,1.0,1,negative,negative,negative,negative
230,satusehat,Tidak bisa untuk memeriksa sertifikat vaksin. Padahal saya sdh 2x vaksin tapi dikatakan nama di permintaan pemeriksaan dibilang tidak valid,negative,1.0,1,negative,negative,neutral,negative
231,JMO,"Baru aktifkan, dan untuk sementara masih pelajari aplikasi ini",neutral,3.0,1,neutral,neutral,positive,positive
232,pertamina,Semoga Tambah Barokah,positive,4.0,1,positive,positive,positive,positive
233,JMO,Aplikasi ini sangat membantu saya 1000%berhasil,positive,5.0,1,positive,positive,positive,positive
234,satusehat,Sertifikat vaksin tdk keluar atas nama firda ramdiani,neutral,3.0,1,negative,negative,negative,positive
235,JMO,Update terusss tapi tetep aja lemot pollll,negative,1.0,1,negative,negative,negative,negative
236,mobileJKN,Perbaruan trs !!! Susah buat masuk pdhl udh setuju di perbaruin tpi keterangan perbaruan ny TDK ada,neutral,3.0,1,negative,negative,negative,negative
237,mobileJKN,Knp setellah d perbarui malah tmbh gini.. mau pndah faskes melalui online.. faskesnya terbatas.. pilihannya tidak banyak.. :(,neutral,3.0,1,neutral,neutral,neutral,neutral
238,satusehat,"Nguras batre hp, kalo ga buat kerja gua ga kan download",negative,1.0,1,negative,negative,negative,negative
239,mobileJKN,Kenapa ya setelah update minta login pas login gak bisa no peserta tdk terdaftar pas coba mau daftar no sudah terdaftar ini gimana sih bingung gak jelas,neutral,3.0,1,negative,negative,negative,negative
240,satusehat,Masok kok lama si,neutral,3.0,1,negative,positive,negative,positive
241,satusehat,"Ini tanggal lahir di sertifikat beda sama di KTP, gmn cara komplen nya ya",neutral,3.0,1,negative,negative,neutral,negative
242,pertamina,"cashless.. ngepasin barcode, loading lumayan, udh gitu belakang antrian banyak. makin takikardi woyyy.. pdhl mah santai aja. gw nya yg ga nyantai wkwk",positive,5.0,1,negative,neutral,neutral,negative
243,mobileJKN,Sangatl membantu..!,positive,5.0,1,positive,positive,positive,positive
244,pertamina,"Aplikasi gak berfaedah, apa lagi untuk di daerah...",negative,2.0,1,negative,negative,negative,negative
245,pertamina,"Buat Bapak"" Atau Ibu"" Yang Ngasih Rating 1 Ke Apk Ini KALO GAPTEK GAPTEK AJA GAUSAH NURUNIN RATING EMNG KALIAN KIRA UPLOAD APLIKASI GAK BAYAR? MIKIR DONG PANTES GAK MAJU MAJU INDONESIA 80%ORANG ORANG GAPTEK",positive,5.0,1,negative,negative,negative,negative
246,mobileJKN,Puas dengan pelayanannya... Dan ditingkatkan lagi,positive,5.0,1,positive,positive,positive,positive
247,pertamina,Yang gampang dibikin susah... Yang susah diuangkan.,negative,1.0,1,negative,negative,negative,negative
248,JMO,Alhamdulillah akhir nya bisa login juga bintang nya saya tambah kan sudah bisa lihat saldo bpjs saya makasih..,positive,5.0,1,positive,positive,positive,positive
249,mobileJKN,Gima sih mau bayar pertama aja ribet nya mita ampun harus sesuai dengan tangal yg di tentukan gak bisa apa kalau langsung bayar hati itu juga bingun padahal udah mau di gunakan bpjs nya solusinya dong,negative,2.0,1,negative,negative,negative,negative
250,satusehat,"Good dan sangat mmbantu dlm program vaksinasi masional, aksesnyapun cpt dlm mmbuka sertifikat vaksin berikut jadwal vaksin selanjutnya.",positive,5.0,1,positive,positive,positive,positive
251,mobileJKN,Diupdate malah gak jelas.,negative,1.0,1,negative,negative,negative,negative
252,pertamina,Scan selalu gagal...??,neutral,3.0,1,negative,negative,negative,negative
253,pertamina,Tidak ada manfaat nya...,negative,1.0,1,negative,negative,negative,negative
254,JMO,"Suka ada,aplikasi jmo praktis mau klem jht ..gak pake ribet asal data,sesuai ya",positive,5.0,1,positive,positive,positive,positive
255,pertamina,"mantab, Pertamina selalu terdepan",positive,5.0,1,positive,positive,positive,positive
256,JMO,Kurang mudah di pahami. Aplikasi suka Ng leg.. keluar sendiri.,neutral,3.0,1,negative,negative,negative,negative
257,satusehat,Sangat membantu aplikasi ini bagus banget,positive,5.0,1,positive,positive,positive,positive
258,JMO,3 dulu kalau bagus tambah lagi,neutral,3.0,1,neutral,neutral,neutral,neutral
259,JMO,good jamsostek gak perlu ribet,positive,5.0,1,positive,positive,positive,positive
260,JMO,Trimakasih jmo jdi lebih mudah mengurus jamsostek,positive,5.0,1,positive,positive,positive,positive
261,JMO,JMO Sekarang sudah bagus,positive,5.0,1,positive,positive,positive,positive
262,JMO,Mempermuda cek saldo,neutral,3.0,1,positive,positive,positive,positive
263,pertamina,"Lebih simpel,praktis dan aman.",positive,5.0,1,positive,positive,positive,positive
264,satusehat,saya belum mendapatkan sertipikat vaksinasi ke dua,negative,1.0,1,positive,positive,positive,positive
265,pertamina,Aplikasi paling buruk yg pernah saya download.,negative,1.0,1,negative,negative,negative,negative
266,satusehat,Knp yaa... Gak bisa terbuka di hpq,positive,5.0,1,negative,negative,negative,neutral
267,satusehat,Srh Up date trs payahhhj......,negative,1.0,1,negative,negative,negative,negative
268,JMO,Gak bs di akses,neutral,3.0,1,negative,negative,negative,negative
269,pertamina,Kiranya ada kasikarunia,positive,5.0,1,positive,positive,positive,positive
270,pertamina,Ojo keseringen update.cek gg bingung gawene,positive,5.0,1,negative,negative,negative,negative
271,satusehat,Mohon di tingkatkan lagi. Seharusnya 1 aplikasi bisa untuk 1 keluarga jadi gak harus banyak penggunaan handphone. Terimakasih,neutral,3.0,1,neutral,neutral,neutral,positive
272,JMO,bintang 3 aja soalnya setiap mau masuk apk disuruh login terus,neutral,3.0,1,neutral,neutral,neutral,neutral
273,JMO,Mantap sekali.. ringkas.. cepat dan Quick respon..,positive,5.0,1,positive,positive,positive,positive
274,JMO,"Aplikasi tolol, buat login aj kadang bisa kadang gak bisa....",negative,1.0,1,negative,negative,negative,negative
275,satusehat,Bgs membantu kita spy lebih waspada,positive,5.0,1,positive,positive,positive,positive
276,satusehat,Ok bgt lah pokoknya,neutral,3.0,1,positive,positive,positive,positive
277,mobileJKN,"y sangat membantu, jadi saat dibutuhkan ketika sakit/berobat kita tidak perlu repot untuk mencari dan membawa semua kartu bpjs yg menjadi tanggungan kita, cukup buka aplikasi dan lihatkan ke petugas fasyankes.",positive,5.0,1,positive,positive,positive,positive
278,satusehat,"Susah bener mau login padahal jaringan bagus, sekalinya masuk sertifikat belum di cetak padahal Dah ada sebelumnya",neutral,3.0,1,negative,negative,negative,negative
279,satusehat,Selalu minta di perbaharui mulu,neutral,3.0,1,negative,negative,negative,neutral
280,pertamina,terlalu pembaruan versi,neutral,3.0,1,negative,negative,negative,neutral
281,JMO,tidak perlu ribet dan antri ke kantor cabang,neutral,3.0,1,positive,positive,positive,positive
282,JMO,D suruh pengkinian data malah ga jelas,negative,1.0,1,negative,negative,negative,negative
283,mobileJKN,"Terima kasih telah menyediakan aplikasi yang sangat membantu ini, pertama kali daftar dan login semua lancar, lanjut ganti faskes juga lancar, terima kasih Aplikasi mudah,cepat, dan akurat",positive,5.0,1,positive,positive,positive,positive
284,mobileJKN,Sering banget update,negative,1.6,10,negative,negative,negative,negative
285,mobileJKN,Sangat membantu sekali infonya untuk kesehatan bagi para mereka yang sudah purna bakti...,positive,5.0,1,positive,positive,positive,positive
286,satusehat,aplikasi crash. Tidak bisa masuk menu. Langsung force close. Gimana ini pihak pengembangnya. Kalo sekiranya aplikasinya belum layak di pakai oleh banyak orang jangan dulu di tampilkan untuk publik.,negative,1.0,1,negative,negative,negative,negative
287,pertamina,"Aplikasi ini brengsek, baru aja daftar sekali masuk jawabnya nomer hp atau pin salah... Koplok Menyulitkan rakyat kecil",negative,1.0,1,negative,negative,negative,negative
288,pertamina,Hancur kek hati,negative,1.0,1,negative,negative,negative,negative
289,satusehat,GK bisa masukin kode vertivikasi,neutral,3.0,1,negative,negative,negative,negative
290,pertamina,"menu scan struknya masih macet2, truus... di pombensin sering tidak sedia struknya...😆😆😆kan jd gk bisa aplod pembelian deeh",positive,4.0,1,neutral,neutral,neutral,neutral
291,pertamina,"BIKIN SUSAH RAKYAT AJA, RIBET, MEMPERSULIT MINYAK HASIL BUMI INDONESIA, UNTUK RAKYAT INDONESIA, BUKAN MALAH DI PERSULIT",negative,1.0,1,negative,negative,negative,negative
292,mobileJKN,"Tak bisa login, selalu keterangan no kartu salah..padahal sudah benar semuanya saya input..versi pun sudah di update..parrahh",negative,2.0,1,negative,negative,negative,negative
293,mobileJKN,"Kuesionernya kaya Alafa Dan Indo, dumanapun kapanpun buka aplikasi slalu ada, padahal berobat kaga tiap waktu. GANGGU BANGET !!!",negative,2.0,1,negative,negative,negative,negative
294,JMO,"Saat pengkinian data di bagian update foto selfie setelah mau melanjutkan selalu di bilang koneksi internet tidak ada dan di suruh cek koneksi internet, padahal internet lancar jaya",neutral,3.0,1,negative,negative,negative,negative
295,JMO,Pastikan koneksi internet terhubung terus.. ainyal full koneksi tersambung.. tolong dibperbaiki masalah seperti ini..,neutral,3.0,1,negative,negative,negative,negative
296,JMO,Fitur dan pelayanan nya sudah ok terimakasih Bpjs,positive,5.0,1,positive,positive,positive,positive
297,JMO,"Kepada Developer ,tolong lah di rawat nie aplikasi.",negative,1.0,1,negative,negative,negative,negative
298,satusehat,Nama sdh tercantum di aplikasi tp pas lihat sertifikat kok ga ada ya? Pdhl sdh vaksin lengkap 2x. Tolong diperbaiki krn sy butuh tampilan sertifikat vaksinnya utk berbagai kepentingan.,negative,2.0,1,negative,negative,neutral,neutral
299,mobileJKN,Kenapa ga bisa login pakai email lagi ya?,neutral,3.0,1,negative,negative,negative,neutral
300,mobileJKN,Memudah kan saya,neutral,3.0,1,positive,positive,positive,positive
